AgencyName1,Address_City_Description1,CreatedOn,CaseNumber,address_streetAddress,Description
BAYPORT POLICE DEPARTMENT,BAYPORT,10/15/2023 4:19:14 PM,BP23005808,"40XXX -499 MINNESOTA ST S, BAYPORT",V/W - SPEED
BAYPORT POLICE DEPARTMENT,BAYPORT,10/16/2023 3:02:56 PM,BP23005821,"XXX 4th ave n, BAYPORT",CIVIL MATTER/DISPUTE
BAYPORT POLICE DEPARTMENT,BAYPORT,10/16/2023 8:29:28 PM,BP23005825,"Maine St N / 4th Ave N, BAYPORT",TRAFFIC COMPLAINT
BAYPORT POLICE DEPARTMENT,BAYPORT,10/17/2023 12:21:02 AM,BP23005827,"XX CENTRAL AVE, BAYPORT",Honor Box Payments
BAYPORT POLICE DEPARTMENT,BAYPORT,10/17/2023 1:28:49 AM,BP23005833,"Minnesota St S / 3rd Ave S, BAYPORT",STAT RADAR
BAYPORT POLICE DEPARTMENT,BAYPORT,10/17/2023 6:18:27 AM,BP23005834,"XX CENTRAL AVE, BAYPORT",911 ABANDONED/HANGUP/OPEN LINE
BAYPORT POLICE DEPARTMENT,BAYPORT,10/17/2023 10:45:47 AM,BP23005843,"XXX 3rd St N, BAYPORT",CIVIL MATTER/DISPUTE
BAYPORT POLICE DEPARTMENT,BAYPORT,10/17/2023 1:03:57 PM,BP23005844,"XXX Highway 95 N, BAYPORT",VEHICLE UNLOCK
BAYPORT POLICE DEPARTMENT,BAYPORT,10/17/2023 3:59:24 PM,BP23005846,"XXX 4th Ave N, BAYPORT",MEDICAL - BLS
BAYPORT POLICE DEPARTMENT,BAYPORT,10/17/2023 4:59:25 PM,BP23005848,"XXX 6th St N, BAYPORT",SUSPICIOUS PERSON/ACTIVITY
BAYPORT POLICE DEPARTMENT,BAYPORT,10/18/2023 1:26:13 AM,BP23005856,"Minnesota St S / 3rd Ave S, BAYPORT",STAT RADAR
BAYPORT POLICE DEPARTMENT,BAYPORT,10/18/2023 1:30:12 AM,BP23005857,"70XXX -972 MINNESOTA ST S, BAYPORT","CITED - Speed, MISD WARRANT - NO ARREST"
BAYPORT POLICE DEPARTMENT,BAYPORT,10/18/2023 5:51:16 AM,BP23005859,"XXX 4th St N, BAYPORT",SUSPICIOUS PERSON/ACTIVITY
BAYPORT POLICE DEPARTMENT,BAYPORT,10/18/2023 10:09:41 PM,BP23005865,"XXX Prairie Way N, BAYPORT",DISTURBANCE
BAYPORT POLICE DEPARTMENT,BAYPORT,10/18/2023 10:45:58 PM,BP23005866,"HWY 95 JSO 1ST AVE N, BAYPORT",DISTURBANCE
BAYPORT POLICE DEPARTMENT,BAYPORT,10/19/2023 2:19:25 AM,BP23005867,"10XXX -1098 5TH AVE N, BAYPORT",PARK INCIDENT-CITY/COUNTY
BAYPORT POLICE DEPARTMENT,BAYPORT,10/19/2023 6:10:18 PM,BP23005872,"XXX 4th ave n, BAYPORT",CIVIL MATTER/DISPUTE
BAYPORT POLICE DEPARTMENT,BAYPORT,10/20/2023 8:36:56 PM,BP23005887,"XXX 5th St N, BAYPORT",DISTURBANCE
BAYPORT POLICE DEPARTMENT,BAYPORT,10/20/2023 9:58:09 PM,BP23005891,"XXX PRAIRIE WAY S, BAYPORT",STAT RADAR
BAYPORT POLICE DEPARTMENT,BAYPORT,10/21/2023 9:08:53 AM,BP23005898,"XXX Highway 95 N, BAYPORT",MEDICAL
BAYPORT POLICE DEPARTMENT,BAYPORT,10/21/2023 11:03:16 PM,BP23005907,"45XXX -4699 STAGECOACH TRL N, BAYPORT",STAT RADAR
BAYPORT POLICE DEPARTMENT,BAYPORT,10/21/2023 11:11:14 PM,BP23005908,"12XXX -1249 INSPIRATION PKWY, BAYPORT",V/W - Failure to stop for STOP sign
BAYPORT POLICE DEPARTMENT,BAYTOWN TOWNSHIP,10/21/2023 5:42:04 AM,BP23005896,"4XXX  Stagecoach Trl N, BAYTOWN TOWNSHIP",ASSIST OTHER AGENCY
BAYPORT POLICE DEPARTMENT,STILLWATER,10/21/2023 1:45:23 PM,BP23005899,"XXX Maple St W, STILLWATER",ASSIST OTHER AGENCY
COTTAGE GROVE POLICE DEPARTMENT,COTTAGE GROVE,10/15/2023 7:28:46 AM,CG23035881,"8XXX  Iden Ave S, COTTAGE GROVE",MEDICAL
COTTAGE GROVE POLICE DEPARTMENT,COTTAGE GROVE,10/15/2023 7:47:25 AM,CG23035882,"7XXX  Hinton Ave S, COTTAGE GROVE",MEDICAL
COTTAGE GROVE POLICE DEPARTMENT,COTTAGE GROVE,10/15/2023 11:07:45 AM,CG23035893,"7XXX  Hinton Park Ave S, COTTAGE GROVE",MEDICAL
COTTAGE GROVE POLICE DEPARTMENT,COTTAGE GROVE,10/15/2023 12:20:00 PM,CG23035910,"8XXX  Inwood Ave S, COTTAGE GROVE",MEDICAL
COTTAGE GROVE POLICE DEPARTMENT,COTTAGE GROVE,10/15/2023 1:15:07 PM,CG23035912,"9XXX  Hallmark Ave S, COTTAGE GROVE",THEFT
