AgencyName,Address_City_Description,CreatedOn1,CaseNum,Textbox28,EventDescription
BAYPORT POLICE DEPARTMENT,BAYPORT,1/18/2026 10:22:44 AM,BP26000184,"XXX Oakwood St S, BAYPORT",WELFARE CHECK
BAYPORT POLICE DEPARTMENT,BAYPORT,1/18/2026 11:03:19 AM,BP26000185,"XXX 3rd St S, BAYPORT",VEHICLE UNLOCK
BAYPORT POLICE DEPARTMENT,BAYPORT,1/18/2026 9:39:43 PM,BP26000192,"XXX 2ND AVE N, BAYPORT",911 ABANDONED/HANGUP/OPEN LINE
BAYPORT POLICE DEPARTMENT,BAYPORT,1/18/2026 10:44:04 PM,BP26000193,"XXX 2ND ST N, BAYPORT",ASSIST OTHER AGENCY
BAYPORT POLICE DEPARTMENT,BAYPORT,1/19/2026 7:51:35 AM,BP26000194,"XXX State St S, BAYPORT",MEDICAL
BAYPORT POLICE DEPARTMENT,BAYPORT,1/19/2026 10:27:20 AM,BP26000196,"Inspiration Pkwy N, BAYPORT",SUSPICIOUS PERSON/ACTIVITY
BAYPORT POLICE DEPARTMENT,BAYPORT,1/19/2026 10:25:48 PM,BP26000197,"XXX Lakeside Dr S, BAYPORT",911 ABANDONED/HANGUP/OPEN LINE
BAYPORT POLICE DEPARTMENT,BAYPORT,1/20/2026 2:13:30 AM,BP26000200,"XXX 2ND ST N, BAYPORT",Park Close
BAYPORT POLICE DEPARTMENT,BAYPORT,1/20/2026 11:58:42 AM,BP26000201,"XXX 5TH ST N, BAYPORT",SUSPICIOUS PERSON/ACTIVITY
BAYPORT POLICE DEPARTMENT,bayport,1/20/2026 3:43:00 PM,BP26000103,"XXX 3rd st n, bayport",CITIZEN/PUBLIC ASSIST
BAYPORT POLICE DEPARTMENT,BAYPORT,1/20/2026 4:16:32 PM,BP26000203,"XXX 4th ave n, BAYPORT",ACCIDENT
BAYPORT POLICE DEPARTMENT,BAYPORT,1/20/2026 5:11:09 PM,BP26000204,"XXX 3rd St S, BAYPORT",UNKNOWN SITUATION
BAYPORT POLICE DEPARTMENT,BAYPORT,1/21/2026 12:46:00 AM,BP26000205,"XXX 2ND ST N, BAYPORT",Park Close
